# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Fri Apr 14 06:36:20 CDT 2023
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (28,30.8,54) frames.
At utterance end, SIL accounts for 99.8% of phone occurrences, with duration (median, mean, 95-percentile) is (22,25.4,49) frames.
Overall, nonsilence accounts for 94.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,17) frames.
Overall, SIL accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (29,36.2,98) frames.
Overall, AH0_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.3,8) frames.
Overall, N_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,10) frames.
Overall, D_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,11) frames.
Overall, T_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,14) frames.
Overall, DH_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,8) frames.
Overall, R_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, EH1_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,16) frames.
Overall, N_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,17) frames.
Overall, IH0_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,8) frames.
Overall, HH_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,13) frames.
Overall, Z_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,20) frames.
Overall, T_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,13) frames.
Overall, L_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,14) frames.
Overall, IH1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,13) frames.
Overall, W_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,16) frames.
Overall, AH0_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.2,6) frames.
Overall, AE1_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,20) frames.
Overall, S_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.2,20) frames.
Overall, S_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.9,17) frames.
Overall, AH0_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,9) frames.
Overall, IY0_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,20) frames.
Overall, T_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,16) frames.
Overall, AH1_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,13) frames.
Overall, B_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
Overall, ER0_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.3,21) frames.
Overall, M_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,14) frames.
Overall, AE1_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.7,18) frames.
Overall, S_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.8,29) frames.
Overall, EY1_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,21) frames.
Overall, V_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,11) frames.
Overall, K_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,14) frames.
Overall, F_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,17) frames.
Overall, K_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,17) frames.
Overall, L_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,22) frames.
Overall, IH0_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
Overall, AA1_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,19) frames.
